GroupCode,GroupName,CountryCode,CountryName
AFR,Africa,DZA,Algeria
AFR,Africa,AGO,Angola
AFR,Africa,BEN,Benin
AFR,Africa,BWA,Botswana
AFR,Africa,BFA,Burkina Faso
AFR,Africa,BDI,Burundi
AFR,Africa,CPV,Cabo Verde
AFR,Africa,CMR,Cameroon
AFR,Africa,CAF,Central African Republic
AFR,Africa,TCD,Chad
AFR,Africa,COM,Comoros
AFR,Africa,ZAR,"Congo, Dem. Rep."
AFR,Africa,COG,"Congo, Rep."
AFR,Africa,CIV,Cote d'Ivoire
AFR,Africa,DJI,Djibouti
AFR,Africa,EGY,"Egypt, Arab Rep."
AFR,Africa,GNQ,Equatorial Guinea
AFR,Africa,ERI,Eritrea
AFR,Africa,ETH,Ethiopia
AFR,Africa,GAB,Gabon
AFR,Africa,GMB,"Gambia, The"
AFR,Africa,GHA,Ghana
AFR,Africa,GIN,Guinea
AFR,Africa,GNB,Guinea-Bissau
AFR,Africa,KEN,Kenya
AFR,Africa,LSO,Lesotho
AFR,Africa,LBR,Liberia
AFR,Africa,LBY,Libya
AFR,Africa,MDG,Madagascar
AFR,Africa,MWI,Malawi
AFR,Africa,MLI,Mali
AFR,Africa,MRT,Mauritania
AFR,Africa,MUS,Mauritius
AFR,Africa,MAR,Morocco
AFR,Africa,MOZ,Mozambique
AFR,Africa,NAM,Namibia
AFR,Africa,NER,Niger
AFR,Africa,NGA,Nigeria
AFR,Africa,RWA,Rwanda
AFR,Africa,STP,Sao Tome and Principe
AFR,Africa,SEN,Senegal
AFR,Africa,SYC,Seychelles
AFR,Africa,SLE,Sierra Leone
AFR,Africa,SOM,Somalia
AFR,Africa,ZAF,South Africa
AFR,Africa,SSD,South Sudan
AFR,Africa,SDN,Sudan
AFR,Africa,SWZ,Swaziland
AFR,Africa,TZA,Tanzania
AFR,Africa,TGO,Togo
AFR,Africa,TUN,Tunisia
AFR,Africa,UGA,Uganda
AFR,Africa,ZMB,Zambia
AFR,Africa,ZWE,Zimbabwe
ARB,Arab World,DZA,Algeria
ARB,Arab World,BHR,Bahrain
ARB,Arab World,COM,Comoros
ARB,Arab World,DJI,Djibouti
ARB,Arab World,EGY,"Egypt, Arab Rep."
ARB,Arab World,IRQ,Iraq
ARB,Arab World,JOR,Jordan
ARB,Arab World,KWT,Kuwait
ARB,Arab World,LBN,Lebanon
ARB,Arab World,LBY,Libya
ARB,Arab World,MRT,Mauritania
ARB,Arab World,MAR,Morocco
ARB,Arab World,OMN,Oman
ARB,Arab World,QAT,Qatar
ARB,Arab World,SAU,Saudi Arabia
ARB,Arab World,SOM,Somalia
ARB,Arab World,SDN,Sudan
ARB,Arab World,SYR,Syrian Arab Republic
ARB,Arab World,TUN,Tunisia
ARB,Arab World,ARE,United Arab Emirates
ARB,Arab World,WBG,West Bank and Gaza
ARB,Arab World,YEM,"Yemen, Rep."
CSS,Caribbean small states,ATG,Antigua and Barbuda
CSS,Caribbean small states,BHS,"Bahamas, The"
CSS,Caribbean small states,BRB,Barbados
CSS,Caribbean small states,BLZ,Belize
CSS,Caribbean small states,DMA,Dominica
CSS,Caribbean small states,GRD,Grenada
CSS,Caribbean small states,GUY,Guyana
CSS,Caribbean small states,JAM,Jamaica
CSS,Caribbean small states,KNA,St. Kitts and Nevis
CSS,Caribbean small states,LCA,St. Lucia
CSS,Caribbean small states,VCT,St. Vincent and the Grenadines
CSS,Caribbean small states,SUR,Suriname
CSS,Caribbean small states,TTO,Trinidad and Tobago
CEB,Central Europe and the Baltics,BGR,Bulgaria
CEB,Central Europe and the Baltics,HRV,Croatia
CEB,Central Europe and the Baltics,CZE,Czech Republic
CEB,Central Europe and the Baltics,EST,Estonia
CEB,Central Europe and the Baltics,HUN,Hungary
CEB,Central Europe and the Baltics,LVA,Latvia
CEB,Central Europe and the Baltics,LTU,Lithuania
CEB,Central Europe and the Baltics,POL,Poland
CEB,Central Europe and the Baltics,ROM,Romania
CEB,Central Europe and the Baltics,SVK,Slovak Republic
CEB,Central Europe and the Baltics,SVN,Slovenia
EAS,East Asia & Pacific (all income levels),ASM,American Samoa
EAS,East Asia & Pacific (all income levels),AUS,Australia
EAS,East Asia & Pacific (all income levels),BRN,Brunei Darussalam
EAS,East Asia & Pacific (all income levels),KHM,Cambodia
EAS,East Asia & Pacific (all income levels),CHN,China
EAS,East Asia & Pacific (all income levels),FJI,Fiji
EAS,East Asia & Pacific (all income levels),PYF,French Polynesia
EAS,East Asia & Pacific (all income levels),GUM,Guam
EAS,East Asia & Pacific (all income levels),HKG,"Hong Kong SAR, China"
EAS,East Asia & Pacific (all income levels),IDN,Indonesia
EAS,East Asia & Pacific (all income levels),JPN,Japan
EAS,East Asia & Pacific (all income levels),KIR,Kiribati
EAS,East Asia & Pacific (all income levels),PRK,"Korea, Dem. People's Rep."
EAS,East Asia & Pacific (all income levels),KOR,"Korea, Rep."
EAS,East Asia & Pacific (all income levels),LAO,Lao PDR
EAS,East Asia & Pacific (all income levels),MAC,"Macao SAR, China"
EAS,East Asia & Pacific (all income levels),MYS,Malaysia
EAS,East Asia & Pacific (all income levels),MHL,Marshall Islands
EAS,East Asia & Pacific (all income levels),FSM,"Micronesia, Fed. Sts."
EAS,East Asia & Pacific (all income levels),MNG,Mongolia
EAS,East Asia & Pacific (all income levels),MMR,Myanmar
EAS,East Asia & Pacific (all income levels),NCL,New Caledonia
EAS,East Asia & Pacific (all income levels),NZL,New Zealand
EAS,East Asia & Pacific (all income levels),MNP,Northern Mariana Islands
EAS,East Asia & Pacific (all income levels),PLW,Palau
EAS,East Asia & Pacific (all income levels),PNG,Papua New Guinea
EAS,East Asia & Pacific (all income levels),PHL,Philippines
EAS,East Asia & Pacific (all income levels),WSM,Samoa
EAS,East Asia & Pacific (all income levels),SGP,Singapore
EAS,East Asia & Pacific (all income levels),SLB,Solomon Islands
EAS,East Asia & Pacific (all income levels),TWN,"Taiwan, China"
EAS,East Asia & Pacific (all income levels),THA,Thailand
EAS,East Asia & Pacific (all income levels),TMP,Timor-Leste
EAS,East Asia & Pacific (all income levels),TON,Tonga
EAS,East Asia & Pacific (all income levels),TUV,Tuvalu
EAS,East Asia & Pacific (all income levels),VUT,Vanuatu
EAS,East Asia & Pacific (all income levels),VNM,Vietnam
EAP,East Asia & Pacific (developing only),ASM,American Samoa
EAP,East Asia & Pacific (developing only),KHM,Cambodia
EAP,East Asia & Pacific (developing only),CHN,China
EAP,East Asia & Pacific (developing only),FJI,Fiji
EAP,East Asia & Pacific (developing only),IDN,Indonesia
EAP,East Asia & Pacific (developing only),KIR,Kiribati
EAP,East Asia & Pacific (developing only),PRK,"Korea, Dem. People's Rep."
EAP,East Asia & Pacific (developing only),LAO,Lao PDR
EAP,East Asia & Pacific (developing only),MYS,Malaysia
EAP,East Asia & Pacific (developing only),MHL,Marshall Islands
EAP,East Asia & Pacific (developing only),FSM,"Micronesia, Fed. Sts."
EAP,East Asia & Pacific (developing only),MNG,Mongolia
EAP,East Asia & Pacific (developing only),MMR,Myanmar
EAP,East Asia & Pacific (developing only),PLW,Palau
EAP,East Asia & Pacific (developing only),PNG,Papua New Guinea
EAP,East Asia & Pacific (developing only),PHL,Philippines
EAP,East Asia & Pacific (developing only),WSM,Samoa
EAP,East Asia & Pacific (developing only),SLB,Solomon Islands
EAP,East Asia & Pacific (developing only),THA,Thailand
EAP,East Asia & Pacific (developing only),TMP,Timor-Leste
EAP,East Asia & Pacific (developing only),TON,Tonga
EAP,East Asia & Pacific (developing only),TUV,Tuvalu
EAP,East Asia & Pacific (developing only),VUT,Vanuatu
EAP,East Asia & Pacific (developing only),VNM,Vietnam
EMU,Euro area,AUT,Austria
EMU,Euro area,BEL,Belgium
EMU,Euro area,CYP,Cyprus
EMU,Euro area,EST,Estonia
EMU,Euro area,FIN,Finland
EMU,Euro area,FRA,France
EMU,Euro area,DEU,Germany
EMU,Euro area,GRC,Greece
EMU,Euro area,IRL,Ireland
EMU,Euro area,ITA,Italy
EMU,Euro area,LVA,Latvia
EMU,Euro area,LTU,Lithuania
EMU,Euro area,LUX,Luxembourg
EMU,Euro area,MLT,Malta
EMU,Euro area,NLD,Netherlands
EMU,Euro area,PRT,Portugal
EMU,Euro area,SVK,Slovak Republic
EMU,Euro area,SVN,Slovenia
EMU,Euro area,ESP,Spain
ECS,Europe & Central Asia (all income levels),ALB,Albania
ECS,Europe & Central Asia (all income levels),ADO,Andorra
ECS,Europe & Central Asia (all income levels),ARM,Armenia
ECS,Europe & Central Asia (all income levels),AUT,Austria
ECS,Europe & Central Asia (all income levels),AZE,Azerbaijan
ECS,Europe & Central Asia (all income levels),BLR,Belarus
ECS,Europe & Central Asia (all income levels),BEL,Belgium
ECS,Europe & Central Asia (all income levels),BIH,Bosnia and Herzegovina
ECS,Europe & Central Asia (all income levels),BGR,Bulgaria
ECS,Europe & Central Asia (all income levels),CHI,Channel Islands
ECS,Europe & Central Asia (all income levels),HRV,Croatia
ECS,Europe & Central Asia (all income levels),CYP,Cyprus
ECS,Europe & Central Asia (all income levels),CZE,Czech Republic
ECS,Europe & Central Asia (all income levels),DNK,Denmark
ECS,Europe & Central Asia (all income levels),EST,Estonia
ECS,Europe & Central Asia (all income levels),FRO,Faroe Islands
ECS,Europe & Central Asia (all income levels),FIN,Finland
ECS,Europe & Central Asia (all income levels),FRA,France
ECS,Europe & Central Asia (all income levels),GEO,Georgia
ECS,Europe & Central Asia (all income levels),DEU,Germany
ECS,Europe & Central Asia (all income levels),GRC,Greece
ECS,Europe & Central Asia (all income levels),GRL,Greenland
ECS,Europe & Central Asia (all income levels),HUN,Hungary
ECS,Europe & Central Asia (all income levels),ISL,Iceland
ECS,Europe & Central Asia (all income levels),IRL,Ireland
ECS,Europe & Central Asia (all income levels),IMY,Isle of Man
ECS,Europe & Central Asia (all income levels),ITA,Italy
ECS,Europe & Central Asia (all income levels),KAZ,Kazakhstan
ECS,Europe & Central Asia (all income levels),KSV,Kosovo
ECS,Europe & Central Asia (all income levels),KGZ,Kyrgyz Republic
ECS,Europe & Central Asia (all income levels),LVA,Latvia
ECS,Europe & Central Asia (all income levels),LIE,Liechtenstein
ECS,Europe & Central Asia (all income levels),LTU,Lithuania
ECS,Europe & Central Asia (all income levels),LUX,Luxembourg
ECS,Europe & Central Asia (all income levels),MKD,"Macedonia, FYR"
ECS,Europe & Central Asia (all income levels),MDA,Moldova
ECS,Europe & Central Asia (all income levels),MCO,Monaco
ECS,Europe & Central Asia (all income levels),MNE,Montenegro
ECS,Europe & Central Asia (all income levels),NLD,Netherlands
ECS,Europe & Central Asia (all income levels),NOR,Norway
ECS,Europe & Central Asia (all income levels),POL,Poland
ECS,Europe & Central Asia (all income levels),PRT,Portugal
ECS,Europe & Central Asia (all income levels),ROM,Romania
ECS,Europe & Central Asia (all income levels),RUS,Russian Federation
ECS,Europe & Central Asia (all income levels),SMR,San Marino
ECS,Europe & Central Asia (all income levels),SRB,Serbia
ECS,Europe & Central Asia (all income levels),SVK,Slovak Republic
ECS,Europe & Central Asia (all income levels),SVN,Slovenia
ECS,Europe & Central Asia (all income levels),ESP,Spain
ECS,Europe & Central Asia (all income levels),SWE,Sweden
ECS,Europe & Central Asia (all income levels),CHE,Switzerland
ECS,Europe & Central Asia (all income levels),TJK,Tajikistan
ECS,Europe & Central Asia (all income levels),TUR,Turkey
ECS,Europe & Central Asia (all income levels),TKM,Turkmenistan
ECS,Europe & Central Asia (all income levels),UKR,Ukraine
ECS,Europe & Central Asia (all income levels),GBR,United Kingdom
ECS,Europe & Central Asia (all income levels),UZB,Uzbekistan
ECA,Europe & Central Asia (developing only),ALB,Albania
ECA,Europe & Central Asia (developing only),ARM,Armenia
ECA,Europe & Central Asia (developing only),AZE,Azerbaijan
ECA,Europe & Central Asia (developing only),BLR,Belarus
ECA,Europe & Central Asia (developing only),BIH,Bosnia and Herzegovina
ECA,Europe & Central Asia (developing only),BGR,Bulgaria
ECA,Europe & Central Asia (developing only),GEO,Georgia
ECA,Europe & Central Asia (developing only),KAZ,Kazakhstan
ECA,Europe & Central Asia (developing only),KSV,Kosovo
ECA,Europe & Central Asia (developing only),KGZ,Kyrgyz Republic
ECA,Europe & Central Asia (developing only),MKD,"Macedonia, FYR"
ECA,Europe & Central Asia (developing only),MDA,Moldova
ECA,Europe & Central Asia (developing only),MNE,Montenegro
ECA,Europe & Central Asia (developing only),ROM,Romania
ECA,Europe & Central Asia (developing only),SRB,Serbia
ECA,Europe & Central Asia (developing only),TJK,Tajikistan
ECA,Europe & Central Asia (developing only),TUR,Turkey
ECA,Europe & Central Asia (developing only),TKM,Turkmenistan
ECA,Europe & Central Asia (developing only),UKR,Ukraine
ECA,Europe & Central Asia (developing only),UZB,Uzbekistan
EUU,European Union,AUT,Austria
EUU,European Union,BEL,Belgium
EUU,European Union,BGR,Bulgaria
EUU,European Union,HRV,Croatia
EUU,European Union,CYP,Cyprus
EUU,European Union,CZE,Czech Republic
EUU,European Union,DNK,Denmark
EUU,European Union,EST,Estonia
EUU,European Union,FIN,Finland
EUU,European Union,FRA,France
EUU,European Union,DEU,Germany
EUU,European Union,GRC,Greece
EUU,European Union,HUN,Hungary
EUU,European Union,IRL,Ireland
EUU,European Union,ITA,Italy
EUU,European Union,LVA,Latvia
EUU,European Union,LTU,Lithuania
EUU,European Union,LUX,Luxembourg
EUU,European Union,MLT,Malta
EUU,European Union,NLD,Netherlands
EUU,European Union,POL,Poland
EUU,European Union,PRT,Portugal
EUU,European Union,ROM,Romania
EUU,European Union,SVK,Slovak Republic
EUU,European Union,SVN,Slovenia
EUU,European Union,ESP,Spain
EUU,European Union,SWE,Sweden
EUU,European Union,GBR,United Kingdom
FCS,Fragile and conflict affected situations,AFG,Afghanistan
FCS,Fragile and conflict affected situations,BIH,Bosnia and Herzegovina
FCS,Fragile and conflict affected situations,BDI,Burundi
FCS,Fragile and conflict affected situations,CAF,Central African Republic
FCS,Fragile and conflict affected situations,TCD,Chad
FCS,Fragile and conflict affected situations,COM,Comoros
FCS,Fragile and conflict affected situations,ZAR,"Congo, Dem. Rep."
FCS,Fragile and conflict affected situations,CIV,Cote d'Ivoire
FCS,Fragile and conflict affected situations,ERI,Eritrea
FCS,Fragile and conflict affected situations,GMB,"Gambia, The"
FCS,Fragile and conflict affected situations,GNB,Guinea-Bissau
FCS,Fragile and conflict affected situations,HTI,Haiti
FCS,Fragile and conflict affected situations,IRQ,Iraq
FCS,Fragile and conflict affected situations,KIR,Kiribati
FCS,Fragile and conflict affected situations,KSV,Kosovo
FCS,Fragile and conflict affected situations,LBN,Lebanon
FCS,Fragile and conflict affected situations,LBR,Liberia
FCS,Fragile and conflict affected situations,LBY,Libya
FCS,Fragile and conflict affected situations,MDG,Madagascar
FCS,Fragile and conflict affected situations,MLI,Mali
FCS,Fragile and conflict affected situations,MHL,Marshall Islands
FCS,Fragile and conflict affected situations,FSM,"Micronesia, Fed. Sts."
FCS,Fragile and conflict affected situations,MMR,Myanmar
FCS,Fragile and conflict affected situations,SLE,Sierra Leone
FCS,Fragile and conflict affected situations,SLB,Solomon Islands
FCS,Fragile and conflict affected situations,SOM,Somalia
FCS,Fragile and conflict affected situations,SSD,South Sudan
FCS,Fragile and conflict affected situations,SDN,Sudan
FCS,Fragile and conflict affected situations,SYR,Syrian Arab Republic
FCS,Fragile and conflict affected situations,TMP,Timor-Leste
FCS,Fragile and conflict affected situations,TGO,Togo
FCS,Fragile and conflict affected situations,TUV,Tuvalu
FCS,Fragile and conflict affected situations,WBG,West Bank and Gaza
FCS,Fragile and conflict affected situations,YEM,"Yemen, Rep."
FCS,Fragile and conflict affected situations,ZWE,Zimbabwe
HPC,Heavily indebted poor countries (HIPC),AFG,Afghanistan
HPC,Heavily indebted poor countries (HIPC),BEN,Benin
HPC,Heavily indebted poor countries (HIPC),BOL,Bolivia
HPC,Heavily indebted poor countries (HIPC),BFA,Burkina Faso
HPC,Heavily indebted poor countries (HIPC),BDI,Burundi
HPC,Heavily indebted poor countries (HIPC),CMR,Cameroon
HPC,Heavily indebted poor countries (HIPC),CAF,Central African Republic
HPC,Heavily indebted poor countries (HIPC),TCD,Chad
HPC,Heavily indebted poor countries (HIPC),COM,Comoros
HPC,Heavily indebted poor countries (HIPC),ZAR,"Congo, Dem. Rep."
HPC,Heavily indebted poor countries (HIPC),COG,"Congo, Rep."
HPC,Heavily indebted poor countries (HIPC),CIV,Cote d'Ivoire
HPC,Heavily indebted poor countries (HIPC),ERI,Eritrea
HPC,Heavily indebted poor countries (HIPC),ETH,Ethiopia
HPC,Heavily indebted poor countries (HIPC),GMB,"Gambia, The"
HPC,Heavily indebted poor countries (HIPC),GHA,Ghana
HPC,Heavily indebted poor countries (HIPC),GIN,Guinea
HPC,Heavily indebted poor countries (HIPC),GNB,Guinea-Bissau
HPC,Heavily indebted poor countries (HIPC),GUY,Guyana
HPC,Heavily indebted poor countries (HIPC),HTI,Haiti
HPC,Heavily indebted poor countries (HIPC),HND,Honduras
HPC,Heavily indebted poor countries (HIPC),LBR,Liberia
HPC,Heavily indebted poor countries (HIPC),MDG,Madagascar
HPC,Heavily indebted poor countries (HIPC),MWI,Malawi
HPC,Heavily indebted poor countries (HIPC),MLI,Mali
HPC,Heavily indebted poor countries (HIPC),MRT,Mauritania
HPC,Heavily indebted poor countries (HIPC),MOZ,Mozambique
HPC,Heavily indebted poor countries (HIPC),NIC,Nicaragua
HPC,Heavily indebted poor countries (HIPC),NER,Niger
HPC,Heavily indebted poor countries (HIPC),RWA,Rwanda
HPC,Heavily indebted poor countries (HIPC),STP,Sao Tome and Principe
HPC,Heavily indebted poor countries (HIPC),SEN,Senegal
HPC,Heavily indebted poor countries (HIPC),SLE,Sierra Leone
HPC,Heavily indebted poor countries (HIPC),SOM,Somalia
