isoalpha3	id_0	name
ABW	14	Aruba
AFG	1	Afghanistan
AGO	8	Angola
AIA	9	Anguilla
ALA	3	Aland
ALB	4	Albania
AND	7	Andorra
ARE	241	United Arab Emirates
ARG	12	Argentina
ARM	13	Armenia
ASM	6	American Samoa
ATF	82	French Southern Territories
ATG	11	Antigua and Barbuda
AUS	15	Australia
AUT	16	Austria
AZE	17	Azerbaijan
BDI	39	Burundi
BEL	23	Belgium
BEN	25	Benin
BES	29	Bonaire, Sint Eustatius and Saba
BFA	38	Burkina Faso
BGD	20	Bangladesh
BGR	37	Bulgaria
BHR	19	Bahrain
BHS	18	Bahamas
BIH	30	Bosnia and Herzegovina
BLM	190	Saint-Bartholemy
BLR	22	Belarus
BLZ	24	Belize
BMU	26	Bermuda
BOL	28	Bolivia
BRA	33	Brazil
BRB	21	Barbados
BRN	36	Brunei
BTN	27	Bhutan
BVT	32	Bouvet Island
BWA	31	Botswana
CAF	46	Central African Republic
CAN	42	Canada
CCK	52	Cocos Islands
CHE	223	Switzerland
CHL	48	Chile
CHN	49	China
CIV	57	Cote d'Ivoire
CMR	41	Cameroon
COD	63	Democratic Republic of the Congo
COG	185	Republic of Congo
COK	55	Cook Islands
COL	53	Colombia
COM	54	Comoros
CPV	43	Cape Verde
CRI	56	Costa Rica
CUB	59	Cuba
CUW	60	Curaçao
CXR	50	Christmas Island
CYM	45	Cayman Islands
CYP	61	Cyprus
CZE	62	Czech Republic
DEU	86	Germany
DJI	65	Djibouti
DMA	67	Dominica
DNK	64	Denmark
DOM	66	Dominican Republic
DZA	5	Algeria
ECU	68	Ecuador
EGY	69	Egypt
ERI	72	Eritrea
ESH	253	Western Sahara
ESP	215	Spain
EST	73	Estonia
ETH	74	Ethiopia
FIN	78	Finland
FJI	77	Fiji
FLK	75	Falkland Islands
FRA	79	France
FRO	76	Faroe Islands
FSM	146	Micronesia
GAB	83	Gabon
GBR	242	United Kingdom
GEO	85	Georgia
GGY	95	Guernsey
GHA	87	Ghana
GIB	88	Gibraltar
GIN	97	Guinea
GLP	92	Guadeloupe
GMB	84	Gambia
GNB	96	Guinea-Bissau
GNQ	71	Equatorial Guinea
GRC	89	Greece
GRD	91	Grenada
GRL	90	Greenland
GTM	94	Guatemala
GUF	80	French Guiana
GUM	93	Guam
GUY	98	Guyana
HKG	102	Hong Kong
HMD	100	Heard Island and McDonald Islands
HND	101	Honduras
HRV	58	Croatia
HTI	99	Haiti
HUN	103	Hungary
IDN	106	Indonesia
IMN	110	Isle of Man
IND	105	India
IOT	34	British Indian Ocean Territory
IRL	109	Ireland
IRN	107	Iran
IRQ	108	Iraq
ISL	104	Iceland
ISR	111	Israel
ITA	112	Italy
JAM	113	Jamaica
JEY	115	Jersey
JOR	116	Jordan
JPN	114	Japan
KAZ	117	Kazakhstan
KEN	118	Kenya
KGZ	122	Kyrgyzstan
KHM	40	Cambodia
KIR	119	Kiribati
KNA	193	Saint Kitts and Nevis
KOR	213	South Korea
KWT	121	Kuwait
LAO	123	Laos
LBN	125	Lebanon
LBR	127	Liberia
LBY	128	Libya
LCA	194	Saint Lucia
LIE	129	Liechtenstein
LKA	217	Sri Lanka
LSO	126	Lesotho
LTU	130	Lithuania
LUX	131	Luxembourg
LVA	124	Latvia
MAC	132	Macao
MAF	191	Saint-Martin
MAR	152	Morocco
MCO	148	Monaco
MDA	147	Moldova
MDG	134	Madagascar
MDV	137	Maldives
MEX	145	Mexico
MHL	140	Marshall Islands
MKD	133	Macedonia
MLI	138	Mali
MLT	139	Malta
MMR	154	Myanmar
MNE	150	Montenegro
MNG	149	Mongolia
MNP	168	Northern Mariana Islands
MOZ	153	Mozambique
MRT	142	Mauritania
MSR	151	Montserrat
MTQ	141	Martinique
MUS	143	Mauritius
MWI	135	Malawi
MYS	136	Malaysia
MYT	144	Mayotte
NAM	155	Namibia
NCL	159	New Caledonia
NER	162	Niger
NFK	165	Norfolk Island
NGA	163	Nigeria
NIC	161	Nicaragua
NIU	164	Niue
NLD	158	Netherlands
NOR	169	Norway
NPL	157	Nepal
NRU	156	Nauru
NZL	160	New Zealand
OMN	170	Oman
PAK	171	Pakistan
PAN	174	Panama
PCN	180	Pitcairn Islands
PER	178	Peru
PHL	179	Philippines
PIS	176	Paracel Islands
PLW	172	Palau
PNG	175	Papua New Guinea
POL	181	Poland
PRI	183	Puerto Rico
PRK	166	North Korea
PRT	182	Portugal
PRY	177	Paraguay
PSE	173	Palestina
PYF	81	French Polynesia
QAT	184	Qatar
REU	186	Reunion
ROU	187	Romania
RUS	188	Russia
RWA	189	Rwanda
SAU	200	Saudi Arabia
SDN	218	Sudan
SEN	201	Senegal
SGP	205	Singapore
SGS	212	South Georgia and the South Sandwich Islands
SHN	192	Saint Helena
SJM	220	Svalbard and Jan Mayen
SLB	209	Solomon Islands
SLE	204	Sierra Leone
SLV	70	El Salvador
SMR	198	San Marino
SOM	210	Somalia
SP-	216	Spratly islands
SPM	195	Saint Pierre and Miquelon
SRB	202	Serbia
SSD	214	South Sudan
STP	199	Sao Tome and Pri­ncipe
SUR	219	Suriname
SVK	207	Slovakia
SVN	208	Slovenia
SWE	222	Sweden
SWZ	221	Swaziland
SXM	206	Sint Maarten
SYC	203	Seychelles
SYR	224	Syria
TCA	237	Turks and Caicos Islands
TCD	47	Chad
TGO	230	Togo
THA	228	Thailand
TJK	226	Tajikistan
TKL	231	Tokelau
TKM	236	Turkmenistan
TLS	229	Timor-Leste
TON	232	Tonga
TTO	233	Trinidad and Tobago
TUN	234	Tunisia
TUR	235	Turkey
TUV	238	Tuvalu
TWN	225	Taiwan
TZA	227	Tanzania
UGA	239	Uganda
UKR	240	Ukraine
UMI	243	United States Minor Outlying Islands
URY	245	Uruguay
USA	244	United States
UZB	246	Uzbekistan
VAT	248	Vatican City
VCT	196	Saint Vincent and the Grenadines
VEN	249	Venezuela
VGB	35	British Virgin Islands
VIR	251	Virgin Islands, U.S.
VNM	250	Vietnam
VUT	247	Vanuatu
WLF	252	Wallis and Futuna
WSM	197	Samoa
XAD	2	Akrotiri and Dhekelia
XCL	51	Clipperton Island
XKO	120	Kosovo
XNC	167	Northern Cyprus
YEM	254	Yemen
ZAF	211	South Africa
ZMB	255	Zambia
ZWE	256	Zimbabwe
